"condition_id","split"
"TS001","val"
"TS002","train"
"TS003","test"
"TS004","train"
"TS005","test"
"TS006","train"
"TS007","val"
"TS008","train"
"TS009","train"
"TS010","train"
"TS011","train"
"TS012","train"
"TS013","train"
"TS014","train"
"TS015","train"
"TS016","train"
"TS017","train"
"TS018","train"
"TS019","train"
"TS020","test"
"TS021","train"
"TS022","val"
"TS023","train"
"TS024","val"
"TS025","train"
"TS026","train"
"TS027","train"
"TS028","val"
"TS029","test"
"TS030","test"
"TS031","test"
"TS032","val"
"TS033","train"
"TS034","train"
"TS035","val"
"TS036","train"
"TS037","train"
"TS038","train"
"TS039","train"
"TS040","train"
"TS041","train"
"TS042","train"
"TS043","train"
"TS044","train"
"TS045","test"
"TS046","train"
"TS047","test"
"TS048","test"
"TS049","train"
"TS050","train"
"TS051","train"
"TS052","val"
"TS053","train"
"TS054","train"
"TS055","train"
"TS056","train"
"TS057","train"
"TS058","val"
"TS059","train"
"TS060","val"
"TS061","train"
"TS062","val"
"TS063","val"
"TS064","train"
"TS065","train"
"TS066","test"
"TS067","train"
"TS068","train"
"TS069","train"
"TS070","train"
"TS071","train"
"TS072","train"
"TS073","train"
"TS074","train"
"TS075","train"
"TS076","val"
"TS077","train"
"TS078","test"
"TS079","train"
"TS080","train"
"TS081","train"
"TS082","train"
"TS083","train"
"TS084","val"
"TS085","test"
"TS086","val"
"TS087","val"
"TS088","train"
"TS089","val"
"TS090","train"
"TS091","train"
"TS092","train"
"TS093","val"
"TS094","train"
"TS095","test"
"TS096","val"
"TS097","train"
"TS098","train"
"TS099","train"
"TS100","train"
"TS101","train"
"TS102","test"
"TS103","train"
"TS104","train"
"TS105","train"
"TS106","train"
"TS107","train"
"TS108","train"
"TS109","train"
"TS110","train"
"TS111","test"
"TS112","train"
"TS113","train"
"TS114","train"
"TS115","train"
"TS116","train"
"TS117","val"
"TS118","train"
"TS119","test"
"TS120","train"
"TS121","test"
"TS122","train"
"TS123","test"
"TS124","train"
"TS125","train"
"TS126","train"
"TS127","train"
"TS128","train"
"TS129","train"
"TS130","train"
"TS131","train"
"TS132","train"
"TS133","train"
"TS134","test"
"TS135","train"
"TS136","val"
"TS137","test"
"TS138","train"
"TS139","test"
"TS140","train"
"TS141","train"
"TS142","train"
"TS143","train"
"TS144","test"
"TS145","train"
"TS146","train"
"TS147","train"
"TS148","train"
"TS149","train"
"TS150","train"
"TS151","test"
"TS152","train"
"TS153","train"
"TS154","train"
"TS155","train"
"TS156","train"
"TS157","train"
"TS158","train"
"TS159","val"
"TS160","train"
"TS161","train"
"TS162","train"
"TS163","train"
"TS164","train"
"TS165","test"
"TS166","train"
"TS167","val"
"TS168","test"
"TS169","train"
"TS170","train"
"TS171","train"
"TS172","train"
"TS173","train"
"TS174","train"
"TS175","train"
"TS176","train"
"TS177","train"
"TS178","train"
"TS179","train"
"TS180","train"
"TS181","train"
"TS182","train"
"TS183","train"
"TS184","train"
"TS185","train"
"TS186","train"
"TS187","test"
"TS188","train"
"TS189","val"
"TS190","train"
"TS191","train"
"TS192","train"
"TS193","test"
"TS194","test"
"TS195","val"
"TS196","train"
"TS197","train"
"TS198","train"
"TS199","train"
"TS200","train"
"TS201","train"
"TS202","train"
"TS203","train"
"TS204","val"
"TS205","train"
"TS206","test"
"TS207","train"
"TS208","train"
"TS209","test"
"TS210","train"
"TS211","test"
"TS212","train"
"TS213","test"
"TS214","train"
"TS215","test"
"TS216","train"
"TS217","train"
"TS218","test"
"TS219","train"
"TS220","train"
"TS221","train"
"TS222","test"
"TS223","train"
"TS224","train"
"TS225","train"
"TS226","val"
"TS227","val"
"TS228","val"
"TS229","train"
"TS230","train"
"TS231","train"
"TS232","train"
"TS233","train"
"TS234","train"
"TS235","train"
"TS236","train"
"TS237","train"
"TS238","val"
"TS239","train"
"TS240","train"
"TS241","val"
"TS242","train"
"TS243","test"
"TS244","train"
"TS245","train"
"TS246","train"
"TS247","train"
"TS248","test"
"TS249","train"
"TS250","train"
"TS251","train"
"TS252","val"
"TS253","val"
"TS254","val"
"TS255","train"
"TS256","test"
"TS257","train"
"TS258","test"
"TS259","train"
"TS260","train"
"TS261","val"
"TS262","val"
"TS263","train"
"TS264","val"
"TS265","val"
"TS266","val"
"TS267","train"
"TS268","train"
"TS269","train"
"TS270","train"
"TS271","train"
"TS272","train"
"TS273","val"
"TS274","train"
"TS275","train"
"TS276","test"
"TS277","test"
"TS278","train"
"TS279","train"
"TS280","val"
"TS281","train"
"TS282","train"
"TS283","train"
"TS284","test"
"TS285","train"
"TS286","train"
"TS287","test"
"TS288","train"
"TS289","train"
"TS290","val"
"TS291","test"
"TS292","train"
"TS293","train"
"TS294","val"
"TS295","train"
"TS296","train"
"TS297","train"
"TS298","test"
"TS299","val"
"TS300","val"
