condition_id,split,work_mj_m3,loading_angle_deg,effective_plastic_strain,stress_radius_mpa,sigma11_mpa,sigma22_mpa,sigma12_mpa
TS001,val,0.25,0.0,0.0010856142,261.92535,238.12976,108.73896,8.0682
TS001,val,0.25,20.0,0.001012072,276.6927,238.42967,139.63164,14.591572
TS001,val,0.25,40.0,0.0010159787,277.8058,226.9716,159.33801,16.433754
TS001,val,0.25,60.0,0.0010811081,264.13138,196.10767,176.23885,15.530813
TS001,val,0.25,80.0,0.0012287333,228.71489,129.84138,187.83109,12.252385
TS001,val,0.25,100.0,0.0014597602,187.724,41.69866,182.72879,10.235145
TS001,val,0.25,120.0,0.001779579,156.76761,-23.989132,154.21185,14.680355
TS001,val,0.25,140.0,0.001876278,148.01587,-138.07436,49.824184,18.929804
TS001,val,0.25,160.0,0.0013026535,225.06027,-217.46106,-57.336052,4.6638293
TS001,val,0.5,0.0,0.0020150228,274.48434,246.87732,119.36892,11.92125
TS001,val,0.5,20.0,0.0019000435,286.2259,245.63695,145.8987,17.348213
TS001,val,0.5,40.0,0.0018992345,287.4681,235.99974,163.09822,18.451149
TS001,val,0.5,60.0,0.002002935,277.5016,211.24568,179.08412,17.611929
TS001,val,0.5,80.0,0.0022884281,242.7316,145.64328,193.6819,13.685706
TS001,val,0.5,100.0,0.0027573917,196.75185,47.70243,190.6195,9.925405
TS001,val,0.5,120.0,0.0033335576,164.43402,-20.867907,162.45026,14.585106
TS001,val,0.5,140.0,0.003507738,157.28145,-149.66733,43.906044,20.081861
TS001,val,0.5,160.0,0.0023663102,243.6105,-232.2135,-73.56016,1.4275099
TS001,val,0.75,0.0,0.0029133765,282.87466,253.37138,125.02891,13.683806
TS001,val,0.75,20.0,0.0027560918,293.42258,251.49377,150.00974,18.555174
TS001,val,0.75,40.0,0.0027521579,294.5861,242.15782,166.62032,19.441084
TS001,val,0.75,60.0,0.0028875316,285.461,218.92377,182.24548,18.547726
TS001,val,0.75,80.0,0.0033033544,252.15605,155.46011,197.9902,14.644255
TS001,val,0.75,100.0,0.0040087504,202.82437,50.63399,196.14438,10.056852
TS001,val,0.75,120.0,0.0048279003,169.79066,-20.016268,167.97548,14.571259
TS001,val,0.75,140.0,0.005064203,164.14525,-157.85905,40.13642,20.276627
TS001,val,0.75,160.0,0.0033701786,253.42186,-240.27567,-80.541534,-0.10296882
TS001,val,1.0,0.0,0.0037835306,289.7886,259.02795,129.08838,14.748784
TS001,val,1.0,20.0,0.0036015252,300.20074,257.06702,153.79832,19.571712
TS001,val,1.0,40.0,0.0035954597,301.23727,247.8234,170.04918,20.266169
TS001,val,1.0,60.0,0.0037526544,292.27548,225.11482,185.4094,19.266254
TS001,val,1.0,80.0,0.004277082,259.2536,162.07559,201.76387,15.259674
TS001,val,1.0,100.0,0.0052266754,207.75587,52.340103,200.793,10.25569
TS001,val,1.0,120.0,0.0062802825,174.30775,-19.835184,172.55971,14.589317
TS001,val,1.0,140.0,0.0065628365,169.75748,-164.29031,37.622597,20.262249
TS001,val,1.0,160.0,0.004342132,260.8081,-246.59105,-84.922714,-0.95435756
TS001,val,2.0,0.0,0.0071049314,312.16647,278.1531,140.65225,17.195944
TS001,val,2.0,20.0,0.006809945,322.15527,275.4822,165.55943,21.991653
TS001,val,2.0,40.0,0.006796133,322.57394,265.51144,181.83208,22.242401
TS001,val,2.0,60.0,0.0070541734,313.03326,242.07664,197.3576,20.945145
TS001,val,2.0,80.0,0.007974259,280.57468,179.59798,214.9062,16.788017
TS001,val,2.0,100.0,0.00986432,223.19502,55.953453,215.78983,10.953411
TS001,val,2.0,120.0,0.011783581,188.56305,-20.854773,186.83188,14.6607065
TS001,val,2.0,140.0,0.01216619,186.14062,-182.07407,33.059376,20.102205
TS001,val,2.0,160.0,0.008021833,281.82153,-265.54413,-94.36834,-2.069499
TS001,val,5.0,0.0,0.016036889,357.08417,317.60632,161.88441,20.706278
TS001,val,5.0,20.0,0.015479009,367.35925,313.43152,189.87119,25.737549
TS001,val,5.0,40.0,0.015472532,366.4053,300.81625,207.67465,25.172256
TS001,val,5.0,60.0,0.016015157,353.9557,272.90106,224.23647,22.970158
TS001,val,5.0,80.0,0.017925655,319.693,206.81732,243.08566,18.427246
TS001,val,5.0,100.0,0.022367952,255.03058,63.09857,246.79616,12.280968
TS001,val,5.0,120.0,0.026516384,217.11026,-24.988596,215.15718,14.826208
TS001,val,5.0,140.0,0.027035715,215.1592,-211.93289,31.261395,20.01587
TS001,val,5.0,160.0,0.017942673,320.1891,-301.812,-106.8926,-2.1290154
TS001,val,10.0,0.0,0.029138176,403.48996,358.48645,183.67393,23.56923
TS001,val,10.0,20.0,0.028235791,413.75302,352.02524,215.55702,28.371254
TS001,val,10.0,40.0,0.028284024,411.47754,336.00485,235.94972,27.24365
TS001,val,10.0,60.0,0.029304096,396.09497,303.28607,253.65976,23.779884
TS001,val,10.0,80.0,0.032605994,359.10648,232.63303,272.92368,18.761213
TS001,val,10.0,100.0,0.040665492,289.82767,72.87495,280.20132,13.286206
TS001,val,10.0,120.0,0.04797228,247.47565,-29.364824,245.25238,15.270176
TS001,val,10.0,140.0,0.048778806,242.91797,-239.79985,33.106426,20.227135
TS001,val,10.0,160.0,0.032639243,357.71765,-338.10245,-116.817024,-1.5524318
TS002,train,0.25,0.0,0.0014724776,187.55139,181.23048,47.636726,-5.478994
TS002,train,0.25,20.0,0.0012612003,225.23964,179.34808,136.22086,0.024636414
TS002,train,0.25,40.0,0.0011720092,235.57217,170.04778,162.95595,-4.8192673
TS002,train,0.25,60.0,0.0012034094,233.59447,154.87766,174.54808,-10.54355
TS002,train,0.25,80.0,0.0013587007,209.90244,103.54196,182.12724,-10.421557
TS002,train,0.25,100.0,0.0015610256,174.71149,-6.9073715,174.42001,7.278786
TS002,train,0.25,120.0,0.0015492998,176.06197,-91.271805,148.06866,27.20026
TS002,train,0.25,140.0,0.0015230239,177.93309,-133.91641,112.93599,31.17054
TS002,train,0.25,160.0,0.0015602689,174.04013,-163.17822,56.45816,21.64388
TS002,train,0.5,0.0,0.002767546,197.55756,188.00978,60.527157,-1.0742409
TS002,train,0.5,20.0,0.0023434577,236.87238,184.4472,148.61327,1.1620859
TS002,train,0.5,40.0,0.002216116,244.46564,175.98871,169.58325,-5.739294
TS002,train,0.5,60.0,0.0022496665,242.86139,162.47577,180.08693,-12.317003
TS002,train,0.5,80.0,0.0025000472,225.09084,123.02632,187.78682,-15.713683
TS002,train,0.5,100.0,0.0029654037,180.94887,-6.758929,180.73526,5.5975595
TS002,train,0.5,120.0,0.0029413176,182.22597,-96.49212,151.83736,28.992414
TS002,train,0.5,140.0,0.002906907,183.72498,-137.45401,117.568184,32.232864
TS002,train,0.5,160.0,0.002969729,180.08986,-167.42831,62.411583,22.448587
TS002,train,0.75,0.0,0.004011708,204.6521,192.7265,68.79037,1.2230716
TS002,train,0.75,20.0,0.0033842674,243.91719,188.9414,154.25539,1.2865207
TS002,train,0.75,40.0,0.003218897,251.24,180.75024,174.38951,-6.2554183
TS002,train,0.75,60.0,0.0032669345,249.9873,167.7813,184.84517,-13.238086
TS002,train,0.75,80.0,0.0035907137,234.25333,132.86215,192.09372,-17.881124
TS002,train,0.75,100.0,0.004328816,185.46545,-6.6895556,185.27945,4.909171
TS002,train,0.75,120.0,0.004295308,186.99205,-99.6904,155.39174,29.684446
TS002,train,0.75,140.0,0.0042493306,188.34872,-140.5819,121.08252,32.417736
TS002,train,0.75,160.0,0.0043410826,184.5457,-171.10901,65.263985,22.786999
TS002,train,1.0,0.0,0.005218004,210.31158,196.65044,74.50508,2.6277947
TS002,train,1.0,20.0,0.0043940158,249.81058,193.07457,158.51067,1.3326904
TS002,train,1.0,40.0,0.0042015165,257.48596,185.18379,178.77744,-6.6780596
TS002,train,1.0,60.0,0.004250918,256.10474,172.24263,189.01996,-13.907619
TS002,train,1.0,80.0,0.004645872,240.91171,138.81718,195.97064,-19.065195
TS002,train,1.0,100.0,0.00566236,189.35193,-6.772471,189.17781,4.470966
TS002,train,1.0,120.0,0.005617328,191.18486,-102.26136,158.7286,29.99034
TS002,train,1.0,140.0,0.0055610705,192.51077,-143.4707,124.19052,32.45214
TS002,train,1.0,160.0,0.00568193,188.4348,-174.53714,67.230515,22.900484
TS002,train,2.0,0.0,0.0097846575,226.6691,209.0993,87.333305,5.3677964
TS002,train,2.0,20.0,0.008243702,269.06866,207.36948,171.44614,1.4358709
TS002,train,2.0,40.0,0.007935407,278.16626,200.13486,193.03375,-7.776695
TS002,train,2.0,60.0,0.008001639,276.65274,186.98865,203.27446,-15.856951
TS002,train,2.0,80.0,0.008630723,260.075,152.94702,209.2283,-21.672285
TS002,train,2.0,100.0,0.010768331,201.96442,-7.8175826,201.78188,3.5452795
TS002,train,2.0,120.0,0.010661716,205.15247,-110.26413,170.31601,30.36125
TS002,train,2.0,140.0,0.010567034,206.60028,-153.57654,134.35172,32.36457
TS002,train,2.0,160.0,0.01081049,201.2793,-186.33972,72.588005,22.843485
TS002,train,5.0,0.0,0.0221443,256.7137,234.52928,104.06222,8.305844
TS002,train,5.0,20.0,0.018601716,308.11182,237.58167,196.17696,1.565497
TS002,train,5.0,40.0,0.017924313,320.04272,230.9876,221.31871,-9.492026
TS002,train,5.0,60.0,0.01804452,318.36176,216.30434,232.83133,-18.87328
TS002,train,5.0,80.0,0.019355813,296.97235,176.87968,237.1972,-25.370005
TS002,train,5.0,100.0,0.024687508,227.59155,-11.14943,227.30035,2.8556743
TS002,train,5.0,120.0,0.024271488,234.07584,-126.03211,194.81996,30.86363
TS002,train,5.0,140.0,0.02407614,235.86957,-175.39935,154.31358,32.508682
TS002,train,5.0,160.0,0.024744458,227.78348,-211.74066,80.83137,22.74791
TS002,train,10.0,0.0,0.040476207,286.94455,261.31622,118.08309,10.362565
TS002,train,10.0,20.0,0.03377259,348.7801,269.36087,221.56071,1.7672929
TS002,train,10.0,40.0,0.032509126,363.12122,262.86728,250.27864,-10.881855
TS002,train,10.0,60.0,0.032707103,361.16354,246.24875,263.3553,-21.086464
TS002,train,10.0,80.0,0.035132404,334.70383,200.6922,266.3784,-28.13957
TS002,train,10.0,100.0,0.04537584,254.19208,-15.375056,253.71007,2.900412
TS002,train,10.0,120.0,0.044247773,264.92874,-143.03171,220.68456,32.05455
TS002,train,10.0,140.0,0.043926187,266.12943,-198.77202,173.76839,33.452892
TS002,train,10.0,160.0,0.045361254,255.68858,-239.50124,86.489456,23.137817
TS003,test,0.25,0.0,0.0013152827,211.26813,199.03188,70.61834,4.1239533
TS003,test,0.25,20.0,0.0011421328,246.07469,195.74155,148.5728,11.645317
TS003,test,0.25,40.0,0.0010856462,259.16135,181.85039,184.3369,10.712647
TS003,test,0.25,60.0,0.0010933498,257.3507,158.76968,202.39287,7.640219
TS003,test,0.25,80.0,0.0011813537,239.41031,113.53514,210.63481,6.863707
TS003,test,0.25,100.0,0.0013541023,206.06805,37.67116,202.12514,13.195725
TS003,test,0.25,120.0,0.0015809574,172.98866,-49.227142,164.20126,23.093605
TS003,test,0.25,140.0,0.0016615816,164.19113,-133.984,91.63004,24.611717
TS003,test,0.25,160.0,0.0015139007,181.15456,-179.79027,18.200186,12.623125
TS003,test,0.5,0.0,0.0024644171,221.71436,205.83015,81.966064,7.5605745
TS003,test,0.5,20.0,0.0021250641,258.66995,200.94832,162.2519,13.911903
TS003,test,0.5,40.0,0.0020316595,269.21738,187.60039,192.72107,11.942871
TS003,test,0.5,60.0,0.0020454435,267.45914,166.74191,208.95694,8.274764
TS003,test,0.5,80.0,0.0021957736,251.5906,126.919044,217.15276,5.3912497
TS003,test,0.5,100.0,0.0025356347,216.3144,46.456802,210.94193,11.5800295
TS003,test,0.5,120.0,0.0029942503,180.14917,-46.906876,172.31802,23.612173
TS003,test,0.5,140.0,0.003154805,170.177,-141.38669,91.20286,25.499466
TS003,test,0.5,160.0,0.0028640588,188.10875,-186.97675,16.429825,12.402459
TS003,test,0.75,0.0,0.0035724738,229.17873,210.84932,89.28717,9.352631
TS003,test,0.75,20.0,0.003078898,267.42987,205.2992,170.7347,14.809143
TS003,test,0.75,40.0,0.002942555,276.382,192.04253,198.37271,12.434918
TS003,test,0.75,60.0,0.0029630053,274.6432,171.74954,214.13591,8.748409
TS003,test,0.75,80.0,0.0031767122,259.84393,134.55035,222.23378,5.0538816
TS003,test,0.75,100.0,0.0036762035,222.78882,50.466335,216.72574,10.8481245
TS003,test,0.75,120.0,0.004362786,185.20073,-46.1433,177.79897,23.600218
TS003,test,0.75,140.0,0.0046047466,174.69565,-146.40334,91.80074,25.626144
TS003,test,0.75,160.0,0.0041751205,193.203,-192.16414,15.734938,12.351491
TS003,test,1.0,0.0,0.004649697,235.18626,215.10403,94.50946,10.423984
TS003,test,1.0,20.0,0.004003587,274.29623,209.30695,176.62024,15.282277
TS003,test,1.0,40.0,0.0038371794,282.9582,196.17368,203.50912,12.850985
TS003,test,1.0,60.0,0.0038627656,281.16568,176.17244,218.93753,9.150658
TS003,test,1.0,80.0,0.0041232933,266.25052,139.55304,226.68814,5.0325036
TS003,test,1.0,100.0,0.004788079,227.8841,52.61917,221.47685,10.506309
TS003,test,1.0,120.0,0.0056974404,189.42244,-46.177074,182.19325,23.535662
TS003,test,1.0,140.0,0.006019667,178.65108,-150.52654,92.75551,25.57487
TS003,test,1.0,160.0,0.0054546474,197.54648,-196.54716,15.530196,12.352006
TS003,test,2.0,0.0,0.008739657,252.98306,228.8354,107.13752,12.490476
TS003,test,2.0,20.0,0.007504888,295.7353,223.21504,193.2904,16.52322
TS003,test,2.0,40.0,0.0072397515,304.20633,209.89914,219.74467,14.002811
TS003,test,2.0,60.0,0.007287893,302.25995,189.82018,234.99959,10.22548
TS003,test,2.0,80.0,0.007736151,286.60214,153.29474,242.1025,5.2724423
TS003,test,2.0,100.0,0.0090268245,243.11185,56.11267,236.33029,10.134644
TS003,test,2.0,120.0,0.010791753,202.76907,-48.340153,195.52513,23.418442
TS003,test,2.0,140.0,0.011412195,191.76337,-163.53844,96.92747,25.164846
TS003,test,2.0,160.0,0.010339707,211.67363,-210.70119,15.916999,12.545328
TS003,test,5.0,0.0,0.019814884,286.6174,256.99442,126.01625,14.943448
TS003,test,5.0,20.0,0.01692603,338.59106,252.92148,224.34023,18.60316
TS003,test,5.0,40.0,0.016409446,347.85797,238.81038,252.42201,16.05956
TS003,test,5.0,60.0,0.016515275,345.6452,217.57329,268.31622,11.784615
TS003,test,5.0,80.0,0.01747751,326.98676,177.23643,274.7282,5.65432
TS003,test,5.0,100.0,0.020602144,273.46133,60.429234,266.51627,9.923968
TS003,test,5.0,120.0,0.024618903,229.61006,-54.486473,221.82437,23.365404
TS003,test,5.0,140.0,0.02597279,218.77328,-189.2961,106.89174,24.553295
TS003,test,5.0,160.0,0.023560386,240.45755,-239.45825,17.373812,13.331206
TS003,test,10.0,0.0,0.036223575,320.73923,286.45972,143.27559,16.92857
TS003,test,10.0,20.0,0.030745305,382.43524,284.01978,255.29161,20.387724
TS003,test,10.0,40.0,0.029853437,393.29813,269.58795,285.82156,17.656866
TS003,test,10.0,60.0,0.030042585,391.00586,247.24573,302.64792,12.62404
TS003,test,10.0,80.0,0.031796537,369.04944,201.53177,309.11295,5.62384
TS003,test,10.0,100.0,0.037819747,305.56876,65.88885,298.2311,9.440366
TS003,test,10.0,120.0,0.04506996,257.78677,-60.300316,249.57806,22.993166
