condition_id,work_mj_m3,loading_angle_deg,mirrored,cpfem_sigma11_mpa,cpfem_sigma22_mpa,scaled_sigma11_mpa,scaled_sigma22_mpa,cpfem_radius_mpa,predicted_radius_mpa
TS003,0.25,0,False,199.03188,70.61834,196.81606391770939,69.83214809206713,211.26812744140625,208.91608557524847
TS003,0.25,0,True,-199.03188,-70.61834,-196.81606391770939,-69.83214809206713,211.26812744140625,208.91608557524847
TS003,0.25,20,False,195.74155,148.5728,196.58648223619213,149.21412499278424,246.07469177246094,247.13689057281576
TS003,0.25,20,True,-195.74155,-148.5728,-196.58648223619213,-149.21412499278424,246.07469177246094,247.13689057281576
TS003,0.25,40,False,181.85039,184.3369,181.62743005070786,184.11089143396578,259.1613464355469,258.84359841939056
TS003,0.25,40,True,-181.85039,-184.3369,-181.62743005070786,-184.11089143396578,259.1613464355469,258.84359841939056
TS003,0.25,60,False,158.76968,202.39287,157.480336841933,200.74926989841862,257.3507080078125,255.26080410050747
TS003,0.25,60,True,-158.76968,-202.39287,-157.480336841933,-200.74926989841862,257.3507080078125,255.26080410050747
TS003,0.25,80,False,113.53514,210.63481,112.01923836932438,207.82245030276397,239.41030883789062,236.2137436373024
TS003,0.25,80,True,-113.53514,-210.63481,-112.01923836932438,-207.82245030276397,239.41030883789062,236.2137436373024
TS003,0.25,100,False,37.67116,202.12514,37.20078199471637,199.6013201821108,206.06805419921875,203.49500149027887
TS003,0.25,100,True,-37.67116,-202.12514,-37.20078199471637,-199.6013201821108,206.06805419921875,203.49500149027887
TS003,0.25,120,False,-49.227142,164.20126,-49.22012086859376,164.17784042744935,172.98866271972656,172.9639898241775
TS003,0.25,120,True,49.227142,-164.20126,49.22012086859376,-164.17784042744935,172.98866271972656,172.9639898241775
TS003,0.25,140,False,-133.984,91.63004,-131.36853238825958,89.8413532770892,164.19113159179688,160.9859982414464
TS003,0.25,140,True,133.984,-91.63004,131.36853238825958,-89.8413532770892,164.19113159179688,160.9859982414464
TS003,0.25,160,False,-179.79027,18.200186,-176.39047746439317,17.856024680761443,181.15455627441406,177.72896540004183
TS003,0.25,160,True,179.79027,-18.200186,176.39047746439317,-17.856024680761443,181.15455627441406,177.72896540004183
TS003,1.0,0,False,215.10403,94.50946,210.724919332931,92.58542638507922,235.18626403808594,230.3983171195773
TS003,1.0,0,True,-215.10403,-94.50946,-210.724919332931,-92.58542638507922,235.18626403808594,230.3983171195773
TS003,1.0,20,False,209.30695,176.62024,207.6253374204582,175.20123878008977,274.2962341308594,272.09248505403514
TS003,1.0,20,True,-209.30695,-176.62024,-207.6253374204582,-175.20123878008977,274.2962341308594,272.09248505403514
TS003,1.0,40,False,196.17368,203.50912,196.837590390768,204.1978557130888,282.95819091796875,283.91580604301186
TS003,1.0,40,True,-196.17368,-203.50912,-196.837590390768,-204.1978557130888,282.95819091796875,283.91580604301186
TS003,1.0,60,False,176.17244,218.93753,176.1633771710171,218.92626720888282,281.1656799316406,281.15121594128505
TS003,1.0,60,True,-176.17244,-218.93753,-176.1633771710171,-218.92626720888282,281.1656799316406,281.15121594128505
TS003,1.0,80,False,139.55304,226.68814,138.47646732534417,224.93936937348727,266.2505187988281,264.1965468240739
TS003,1.0,80,True,-139.55304,-226.68814,-138.47646732534417,-224.93936937348727,266.2505187988281,264.1965468240739
TS003,1.0,100,False,52.61917,221.47685,51.5104594344717,216.81022900208373,227.88409423828125,223.08246960228206
TS003,1.0,100,True,-52.61917,-221.47685,-51.5104594344717,-216.81022900208373,227.88409423828125,223.08246960228206
TS003,1.0,120,False,-46.177074,182.19325,-46.72012564571221,184.33587913778723,189.4224395751953,191.6500854313648
TS003,1.0,120,True,46.177074,-182.19325,46.72012564571221,-184.33587913778723,189.4224395751953,191.6500854313648
TS003,1.0,140,False,-150.52654,92.75551,-148.78913041353258,91.68490602364024,178.6510772705078,176.58904824703782
