condition_id,work_mj_m3,loading_angle_deg,cpfem_mpa,prediction_mpa
TS003,0.25,0,211.26812744140625,208.91608557524847
TS003,0.25,20,246.07469177246094,247.13689057281576
TS003,0.25,40,259.1613464355469,258.84359841939056
TS003,0.25,60,257.3507080078125,255.26080410050747
TS003,0.25,80,239.41030883789062,236.2137436373024
TS003,0.25,100,206.06805419921875,203.49500149027887
TS003,0.25,120,172.98866271972656,172.9639898241775
TS003,0.25,140,164.19113159179688,160.9859982414464
TS003,0.25,160,181.15455627441406,177.72896540004183
TS003,0.5,0,221.71435546875,217.75635400185416
TS003,0.5,20,258.6699523925781,257.1614116067262
TS003,0.5,40,269.2173767089844,268.8944278444757
TS003,0.5,60,267.4591369628906,265.68330483812707
TS003,0.5,80,251.59060668945312,247.80431981741063
TS003,0.5,100,216.3144073486328,211.38351192432845
TS003,0.5,120,180.149169921875,180.55416857085243
TS003,0.5,140,170.177001953125,167.15625038993863
TS003,0.5,160,188.10874938964844,184.48204066917492
TS003,0.75,0,229.17872619628906,224.61441080331784
TS003,0.75,20,267.42987060546875,265.1927968622125
TS003,0.75,40,276.3819885253906,276.9676957188981
TS003,0.75,60,274.6431884765625,274.0100073995279
TS003,0.75,80,259.84393310546875,256.7226394003885
TS003,0.75,100,222.788818359375,217.6808973530098
TS003,0.75,120,185.2007293701172,186.54487917758632
TS003,0.75,140,174.69564819335938,172.20193747833923
TS003,0.75,160,193.2030029296875,189.9089787472577
TS003,1.0,0,235.18626403808594,230.3983171195773
TS003,1.0,20,274.2962341308594,272.09248505403514
TS003,1.0,40,282.95819091796875,283.91580604301186
TS003,1.0,60,281.1656799316406,281.15121594128505
TS003,1.0,80,266.2505187988281,264.1965468240739
TS003,1.0,100,227.88409423828125,223.08246960228206
TS003,1.0,120,189.4224395751953,191.6500854313648
TS003,1.0,140,178.6510772705078,176.58904824703782
TS003,1.0,160,197.54647827148438,194.58092918879433
TS003,2.0,0,252.98306274414062,248.07852315843115
TS003,2.0,20,295.73529052734375,293.6682166914834
TS003,2.0,40,304.2063293457031,305.704128148703
TS003,2.0,60,302.25994873046875,303.43141843177114
TS003,2.0,80,286.6021423339844,286.7895452122839
TS003,2.0,100,243.11184692382812,239.958245527518
TS003,2.0,120,202.76907348632812,207.4765997531544
TS003,2.0,140,191.76336669921875,190.51838058237416
TS003,2.0,160,211.6736297607422,209.2366861495223
TS003,5.0,0,286.6174011230469,281.4510705650114
TS003,5.0,20,338.591064453125,335.34706005638185
TS003,5.0,40,347.85797119140625,347.99019718499335
TS003,5.0,60,345.64520263671875,346.3470250040658
TS003,5.0,80,326.98675537109375,328.49347678069125
TS003,5.0,100,273.4613342285156,272.635827548842
TS003,5.0,120,229.6100616455078,237.9306867238467
TS003,5.0,140,218.77328491210938,217.86810905369651
TS003,5.0,160,240.45755004882812,237.6849407877793
TS003,10.0,0,320.7392272949219,315.8100517175151
TS003,10.0,20,382.43524169921875,378.35256128281196
TS003,10.0,40,393.2981262207031,391.8117919471617
TS003,10.0,60,391.005859375,390.5576020477963
TS003,10.0,80,369.0494384765625,370.2667881586556
TS003,10.0,100,305.5687561035156,306.61579417516896
TS003,10.0,120,257.7867736816406,269.73683840353
TS003,10.0,140,246.71043395996094,246.16602295394142
TS003,10.0,160,270.58642578125,267.1458243092757
TS151,0.25,0,213.06944274902344,213.20938002674416
TS151,0.25,20,247.66737365722656,248.2399043077814
TS151,0.25,40,259.9277038574219,260.62973758169
TS151,0.25,60,260.2216491699219,260.6773238415301
TS151,0.25,80,244.87986755371094,243.84249802099413
TS151,0.25,100,214.38320922851562,212.44672446716336
TS151,0.25,120,172.39573669433594,169.71485012656464
TS151,0.25,140,147.4833221435547,143.17032193294236
TS151,0.25,160,179.76951599121094,179.3484149177166
TS151,0.5,0,224.4779052734375,221.98563264204125
TS151,0.5,20,259.7882385253906,258.11249191476026
TS151,0.5,40,270.9391174316406,270.4054868596678
TS151,0.5,60,270.3634338378906,270.7563517777601
TS151,0.5,80,256.9482116699219,254.18722573420487
TS151,0.5,100,226.11317443847656,221.2882034857431
TS151,0.5,120,183.07839965820312,178.75990981341403
TS151,0.5,140,154.03077697753906,149.1490108755037
TS151,0.5,160,188.6795654296875,186.50468220268618
TS151,0.75,0,231.95248413085938,228.89816158150416
TS151,0.75,20,268.1432189941406,266.033662951517
TS151,0.75,40,278.6861267089844,278.24622609506036
TS151,0.75,60,277.5265808105469,278.8535873264229
TS151,0.75,80,265.3167419433594,262.3992180335699
TS151,0.75,100,233.94662475585938,228.39110177244729
TS151,0.75,120,189.83221435546875,185.72472502720433
TS151,0.75,140,158.75662231445312,153.97633182069077
TS151,0.75,160,194.548583984375,192.32195153643852
TS151,1.0,0,238.1024627685547,234.78284492548747
TS151,1.0,20,275.1474914550781,272.84627348080176
TS151,1.0,40,284.96392822265625,284.9914268243592
TS151,1.0,60,284.0768127441406,285.8249109489218
TS151,1.0,80,271.88214111328125,269.41593750237365
TS151,1.0,100,240.16282653808594,234.5054746938664
TS151,1.0,120,195.14527893066406,191.57082814420565
TS151,1.0,140,162.72865295410156,158.14205365258948
TS151,1.0,160,199.3995819091797,197.3600861260619
TS151,2.0,0,256.6742248535156,253.00636874102082
TS151,2.0,20,296.46990966796875,294.1916507195192
TS151,2.0,40,306.16082763671875,306.15181255590124
TS151,2.0,60,305.1041564941406,307.70948843168674
TS151,2.0,80,292.9142150878906,291.2068785070549
TS151,2.0,100,258.83819580078125,253.69381162191172
TS151,2.0,120,211.02586364746094,209.32479056507592
TS151,2.0,140,175.35906982421875,171.24204419868704
TS151,2.0,160,214.7684326171875,213.2623793758068
TS151,5.0,0,292.72369384765625,288.0451728852246
TS151,5.0,20,339.0732727050781,335.58843486814675
TS151,5.0,40,349.2737731933594,347.35814322263593
TS151,5.0,60,348.11383056640625,350.320610980031
TS151,5.0,80,334.6751708984375,332.9879828903111
TS151,5.0,100,295.38916015625,291.04557272392043
TS151,5.0,120,241.490966796875,242.56935318250345
TS151,5.0,140,200.57730102539062,196.7085953288151
TS151,5.0,160,246.18402099609375,244.1966647868606
TS151,10.0,0,330.3224182128906,324.63979688711856
TS151,10.0,20,383.4575500488281,378.5121578158205
TS151,10.0,40,394.3740539550781,390.3682592073045
TS151,10.0,60,392.7992858886719,394.72329398621935
TS151,10.0,80,377.5382995605469,376.03797723220816
TS151,10.0,100,332.972900390625,330.0056442423886
TS151,10.0,120,273.0560302734375,276.7104292324568
TS151,10.0,140,226.5720977783203,223.05074218261473
TS151,10.0,160,279.38824462890625,275.93375433905214
TS298,0.25,0,207.1892547607422,206.41436676202798
TS298,0.25,20,256.1002502441406,243.16316494086186
TS298,0.25,40,281.8363342285156,254.56042906079793
TS298,0.25,60,289.6370544433594,261.04724382067985
TS298,0.25,80,285.115234375,262.6938630953385
TS298,0.25,100,266.5029296875,251.05607197057904
TS298,0.25,120,208.49363708496094,199.8092638943318
TS298,0.25,140,133.8831329345703,140.34727708875926
TS298,0.25,160,175.1488037109375,177.69027551475287
TS298,0.5,0,216.69601440429688,213.73467380283083
TS298,0.5,20,273.1246032714844,253.5906861156231
